item_group_key_strict,item_group_key_loose,item_name_suggested,brand_guess,consumable_type,hazard_tags,example_image_file,images_in_group_strict,images_in_group_loose,primary_area,process_tags,unit_type,on_hand_qty,reorder_point,storage_location,notes,amazon_search_url,amazon_url,amazon_asin,r2_object_key
jewelry ring wax,jewelry ring,Jewelry Ring Wax Casting Tube Tool for Jewelry Making Accessory Man Wax Ring Solid Carving Wax Tube Various Models are Available Green Carving Wax Tube (1062E),Jewelry,adhesive,,Jewelry Ring Wax Casting Tube Tool for Jewelry Making Accessory Man Wax Ring Solid Carving Wax Tube Various Models are Available Green Carving Wax Tube (1062E).jpg,1,3,,,,,,,,https://www.amazon.ca/s?k=Jewelry+Ring+Wax+Casting+Tube+Tool+for+Jewelry+Making+Accessory+Man+Wax+Ring+Solid+Carving+Wax+Tube+Various+Models+are+Available+Green+Carving+Wax+Tube+(1062E),,,Supplies/Jewelry Ring Wax Casting Tube Tool for Jewelry Making Accessory Man Wax Ring Solid Carving Wax Tube Various Models are Available Green Carving Wax Tube (1062E).jpg
juanya360pcs juanya spacer,juanya360pcs juanya,Juanya360pcs Silver Spacer Beads Caps,Juanya360pcs,adhesive,,Juanya360pcsSilverSpacerBeadsCaps.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Juanya360pcs+Silver+Spacer+Beads+Caps,,,Supplies/Juanya360pcsSilverSpacerBeadsCaps.jpg
keadic solder wire,keadic solder,"Keadic 5Pcs Solder Wire with Rosin Core Set 0.6mm 0.8mm 1.0mm 1.2mm 1.5mm for Most Electrical Soldering, Sn 99% Ag 0.3% Cu 0.7%",Keadic,adhesive,,"Keadic 5Pcs Solder Wire with Rosin Core Set 0.6mm 0.8mm 1.0mm 1.2mm 1.5mm for Most Electrical Soldering, Sn 99% Ag 0.3% Cu 0.7%.jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=Keadic+5Pcs+Solder+Wire+with+Rosin+Core+Set+0.6mm+0.8mm+1.0mm+1.2mm+1.5mm+for+Most+Electrical+Soldering,+Sn+99%+Ag+0.3%+Cu+0.7%",,,"Supplies/Keadic 5Pcs Solder Wire with Rosin Core Set 0.6mm 0.8mm 1.0mm 1.2mm 1.5mm for Most Electrical Soldering, Sn 99% Ag 0.3% Cu 0.7%.jpg"
kuhvaimade canada sandlewood,kuhvaimade canada,KUHVAIMade In Canada Sandlewood,KUHVAIMade,adhesive,,KUHVAIMadeInCanadaSandlewood.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=KUHVAIMade+In+Canada+Sandlewood,,,Supplies/KUHVAIMadeInCanadaSandlewood.jpg
kuuqa6set kuuqa artist,kuuqa6set kuuqa,KUUQA6Set Artist Blank Canvas Assorted Size,KUUQA6Set,adhesive,,KUUQA6SetArtistBlankCanvasAssortedSize.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=KUUQA6Set+Artist+Blank+Canvas+Assorted+Size,,,Supplies/KUUQA6SetArtistBlankCanvasAssortedSize.jpg
le page pro,le page,Le Page Pro Carpenters Glue150ml Yellow,Le,adhesive,chemical,LePageProCarpentersGlue150mlYellow.jpg,1,3,,,,,,,,https://www.amazon.ca/s?k=Le+Page+Pro+Carpenters+Glue150ml+Yellow,,,Supplies/LePageProCarpentersGlue150mlYellow.jpg
le page super,le page,Le Page Super Glue Gel Control,Le,adhesive,chemical,LePageSuperGlueGelControl.jpg,1,3,,,,,,,,https://www.amazon.ca/s?k=Le+Page+Super+Glue+Gel+Control,,,Supplies/LePageSuperGlueGelControl.jpg
lingling6pin33ftrgbwwledstrip lingling pin,lingling6pin33ftrgbwwledstrip lingling,LINGLING6pin33FTRGBWWLEDStrip Extension Cable,LINGLING6pin33FTRGBWWLEDStrip,adhesive,,LINGLING6pin33FTRGBWWLEDStripExtensionCable.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=LINGLING6pin33FTRGBWWLEDStrip+Extension+Cable,,,Supplies/LINGLING6pin33FTRGBWWLEDStripExtensionCable.jpg
lucas papaw ointment,lucas papaw,Lucas Papaw Ointment25g,Lucas,adhesive,,LucasPapawOintment25g.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Lucas+Papaw+Ointment25g,,,Supplies/LucasPapawOintment25g.jpg
mr volcano rigidizer,mr volcano,Mr Volcano Rigidizer16oz Concentrate,Mr,adhesive,,MrVolcanoRigidizer16ozConcentrate.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Mr+Volcano+Rigidizer16oz+Concentrate,,,Supplies/MrVolcanoRigidizer16ozConcentrate.jpg
multi purpose square,multi purpose,Multi Purpose Square Self Adhesive Labelfor Phomemo,Multi,adhesive,chemical,Multi-PurposeSquareSelf-AdhesiveLabelforPhomemo.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Multi+Purpose+Square+Self+Adhesive+Labelfor+Phomemo,,,Supplies/Multi-PurposeSquareSelf-AdhesiveLabelforPhomemo.jpg
nindejin880pcs nindejin hex,nindejin880pcs nindejin,NINDEJIN880Pcs Hex Socket Head Cap Screw Boltsand Nuts Set,NINDEJIN880Pcs,adhesive,,NINDEJIN880PcsHexSocketHeadCapScrewBoltsandNutsSet.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=NINDEJIN880Pcs+Hex+Socket+Head+Cap+Screw+Boltsand+Nuts+Set,,,Supplies/NINDEJIN880PcsHexSocketHeadCapScrewBoltsandNutsSet.jpg
pandahall crystal months,pandahall crystal,Pandahall 180pcs Crystal 12 Months Birthstone Charms Diamond Shape Glass Rhinestone Cabochons for DIY Living Memory Locket Bracelet Necklace,Pandahall,adhesive,,Pandahall 180pcs Crystal 12 Months Birthstone Charms Diamond Shape Glass Rhinestone Cabochons for DIY Living Memory Locket Bracelet Necklace.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Pandahall+180pcs+Crystal+12+Months+Birthstone+Charms+Diamond+Shape+Glass+Rhinestone+Cabochons+for+DIY+Living+Memory+Locket+Bracelet+Necklace,,,Supplies/Pandahall 180pcs Crystal 12 Months Birthstone Charms Diamond Shape Glass Rhinestone Cabochons for DIY Living Memory Locket Bracelet Necklace.jpg
ph panda hall,ph panda,"PH Panda Hall Cubic Zirconia Stones, 720pcs 6 Colors Diamond Shape Small Loose CZ Stones 2mm Faceted Rhinestone Cabochons for Ring Earring Bracelet Necklace Charms Jewelry Making, Grade A, No Hole",PH,adhesive,,"PH PandaHall Cubic Zirconia Stones, 720pcs 6 Colors Diamond Shape Small Loose CZ Stones 2mm Faceted Rhinestone Cabochons for Ring Earring Bracelet Necklace Charms Jewelry Making, Grade A, No Hole.jpg",2,2,,,,,,,,"https://www.amazon.ca/s?k=PH+Panda+Hall+Cubic+Zirconia+Stones,+720pcs+6+Colors+Diamond+Shape+Small+Loose+CZ+Stones+2mm+Faceted+Rhinestone+Cabochons+for+Ring+Earring+Bracelet+Necklace+Charms+Jewelry+Making,+Grade+A,+No+Hole",,,"Supplies/PH PandaHall Cubic Zirconia Stones, 720pcs 6 Colors Diamond Shape Small Loose CZ Stones 2mm Faceted Rhinestone Cabochons for Ring Earring Bracelet Necklace Charms Jewelry Making, Grade A, No Hole.jpg"
polymaker poly cast,polymaker poly,Polymaker Poly Cast Filament Lost Wax,Polymaker,adhesive,,PolymakerPolyCastFilamentLostWax.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Polymaker+Poly+Cast+Filament+Lost+Wax,,,Supplies/PolymakerPolyCastFilamentLostWax.jpg
premium jewelry making,premium jewelry,Premium Jewelry Making Casting Powder Lost Wax Investment Powder5Lbs,Premium,adhesive,dust,PremiumJewelryMakingCastingPowderLostWaxInvestmentPowder5Lbs.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Premium+Jewelry+Making+Casting+Powder+Lost+Wax+Investment+Powder5Lbs,,,Supplies/PremiumJewelryMakingCastingPowderLostWaxInvestmentPowder5Lbs.jpg
replacement glue boards,replacement glue,Replacement Glue Boards 30PCS Refill Sticky Cards 4.3 inch Round Sticky Pads Indoor Glue Boards Compatible with Katchy Fenun Toloco and Other Models,Replacement,adhesive,chemical,Replacement Glue Boards 30PCS Refill Sticky Cards 4.3 inch Round Sticky Pads Indoor Glue Boards Compatible with Katchy Fenun Toloco and Other Models.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Replacement+Glue+Boards+30PCS+Refill+Sticky+Cards+4.3+inch+Round+Sticky+Pads+Indoor+Glue+Boards+Compatible+with+Katchy+Fenun+Toloco+and+Other+Models,,,Supplies/Replacement Glue Boards 30PCS Refill Sticky Cards 4.3 inch Round Sticky Pads Indoor Glue Boards Compatible with Katchy Fenun Toloco and Other Models.jpg
sain smarte pa,sain smarte,Sain Smarte PA12 CFCarbon Fiber Nylon Filament175mm,Sain,adhesive,,SainSmartePA12-CFCarbonFiberNylonFilament175mm.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Sain+Smarte+PA12+CFCarbon+Fiber+Nylon+Filament175mm,,,Supplies/SainSmartePA12-CFCarbonFiberNylonFilament175mm.jpg
saviland builder gels,saviland builder,"SAVILAND Builder Gels 100g 3.5oz Large Capacity Clear Hard Gel for Nails, Nail Extension Gel for Nail Strengthen DIY Nail Art Manicure",SAVILAND,adhesive,,"SAVILAND Builder Gels - 100g 3.5oz Large Capacity Clear Hard Gel for Nails, Nail Extension Gel for Nail Strengthen DIY Nail Art Manicure.jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=SAVILAND+Builder+Gels+100g+3.5oz+Large+Capacity+Clear+Hard+Gel+for+Nails,+Nail+Extension+Gel+for+Nail+Strengthen+DIY+Nail+Art+Manicure",,,"Supplies/SAVILAND Builder Gels - 100g 3.5oz Large Capacity Clear Hard Gel for Nails, Nail Extension Gel for Nail Strengthen DIY Nail Art Manicure.jpg"
simba lux acrylic,simba lux,Simba Lux Acrylic Sheet Clear Cast Plexiglass,Simba,adhesive,,SimbaLuxAcrylicSheetClearCastPlexiglass.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Simba+Lux+Acrylic+Sheet+Clear+Cast+Plexiglass,,,Supplies/SimbaLuxAcrylicSheetClearCastPlexiglass.jpg
super glue c,super glue,Super Glue C Bond,Super,adhesive,chemical,SuperGlueC-Bond.jpg,1,2,,,,,,,,https://www.amazon.ca/s?k=Super+Glue+C+Bond,,,Supplies/SuperGlueC-Bond.jpg
super glue liquid,super glue,"Super Glue Liquid, Instant Clear Cyanoacrylate Thin Viscosity Adhesive, Food Safe CA Glue for Shoe Sole Repair Leather Ceramic Plastic Glass Metal Wood Aquarium Porcelain Rubber Pottery Model Craft",Super,adhesive,chemical,"Super Glue Liquid, Instant Clear Cyanoacrylate Thin Viscosity Adhesive, Food Safe CA Glue for Shoe Sole Repair Leather Ceramic Plastic Glass Metal Wood Aquarium Porcelain Rubber Pottery Model Craft.jpg",1,2,,,,,,,,"https://www.amazon.ca/s?k=Super+Glue+Liquid,+Instant+Clear+Cyanoacrylate+Thin+Viscosity+Adhesive,+Food+Safe+CA+Glue+for+Shoe+Sole+Repair+Leather+Ceramic+Plastic+Glass+Metal+Wood+Aquarium+Porcelain+Rubber+Pottery+Model+Craft",,,"Supplies/Super Glue Liquid, Instant Clear Cyanoacrylate Thin Viscosity Adhesive, Food Safe CA Glue for Shoe Sole Repair Leather Ceramic Plastic Glass Metal Wood Aquarium Porcelain Rubber Pottery Model Craft.jpg"
dremel sworker carbide,dremel sworker,Sworker Carbide Burr Set Compatiblewith Dremel,Dremel,adhesive,,SworkerCarbideBurrSetCompatiblewithDremel.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Sworker+Carbide+Burr+Set+Compatiblewith+Dremel,,,Supplies/SworkerCarbideBurrSetCompatiblewithDremel.jpg
teton bond petrobond,teton bond,Teton Bond Petrobond Fine Casting Sand,Teton,adhesive,,Teton-BondPetrobondFineCastingSand.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Teton+Bond+Petrobond+Fine+Casting+Sand,,,Supplies/Teton-BondPetrobondFineCastingSand.jpg
urnex coffee maker,urnex coffee,Urnex Coffee Maker Cleaner and Descaler Kit 2 Single Use Bottles Professional at Home Coffee Machine Cleaning and Descaling,Urnex,adhesive,,Urnex Coffee Maker Cleaner and Descaler Kit - 2 Single Use Bottles - Professional at Home Coffee Machine Cleaning and Descaling.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Urnex+Coffee+Maker+Cleaner+and+Descaler+Kit+2+Single+Use+Bottles+Professional+at+Home+Coffee+Machine+Cleaning+and+Descaling,,,Supplies/Urnex Coffee Maker Cleaner and Descaler Kit - 2 Single Use Bottles - Professional at Home Coffee Machine Cleaning and Descaling.jpg
vabneer100piece100natural vabneer natural,vabneer100piece100natural vabneer,VABNEER100Piece100Natural Cotton Candle Wick,VABNEER100Piece100Natural,adhesive,,VABNEER100Piece100NaturalCottonCandleWick.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=VABNEER100Piece100Natural+Cotton+Candle+Wick,,,Supplies/VABNEER100Piece100NaturalCottonCandleWick.jpg
vacplus toilet bowl,vacplus toilet,"Vacplus Toilet Bowl Cleaners 12 PACK, Ultra Clean Toilet Cleaners for Deodorizing & Descaling, Long Lasting Blue Toilet Bowl Cleaner Tablets with Sustained Release Technology Against Tough Stains",Vacplus,adhesive,,"Vacplus Toilet Bowl Cleaners - 12 PACK, Ultra-Clean Toilet Cleaners for Deodorizing & Descaling, Long-Lasting Blue Toilet Bowl Cleaner Tablets with Sustained-Release Technology Against Tough Stains.jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=Vacplus+Toilet+Bowl+Cleaners+12+PACK,+Ultra+Clean+Toilet+Cleaners+for+Deodorizing+&+Descaling,+Long+Lasting+Blue+Toilet+Bowl+Cleaner+Tablets+with+Sustained+Release+Technology+Against+Tough+Stains",,,"Supplies/Vacplus Toilet Bowl Cleaners - 12 PACK, Ultra-Clean Toilet Cleaners for Deodorizing & Descaling, Long-Lasting Blue Toilet Bowl Cleaner Tablets with Sustained-Release Technology Against Tough Stains.jpg"
war world scenics,war world,War World Scenics Self Adhesive Static Grass Tuftsx100–Dead,War,adhesive,chemical,WarWorldScenicsSelfAdhesiveStaticGrassTuftsx100–Dead.jpg,3,3,,,,,,,,https://www.amazon.ca/s?k=War+World+Scenics+Self+Adhesive+Static+Grass+Tuftsx100–Dead,,,Supplies/WarWorldScenicsSelfAdhesiveStaticGrassTuftsx100–Dead.jpg
wax seal warmer,wax seal,"Wax Seal Warmer Kits, Vosypoky 372 PCS Sealing Wax Beads Set with 360PCS Rose Gold Wax Seal Beads, Wax Seal Warmer, Melting Spoon,10PCS Candles, Wax Seal Kit for Wedding Envelop Sealing",Wax,adhesive,,"Wax Seal Warmer Kits, Vosypoky 372 PCS Sealing Wax Beads Set with 360PCS Rose Gold Wax Seal Beads, Wax Seal Warmer, Melting Spoon,10PCS Candles, Wax Seal Kit for Wedding Envelop Sealing.jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=Wax+Seal+Warmer+Kits,+Vosypoky+372+PCS+Sealing+Wax+Beads+Set+with+360PCS+Rose+Gold+Wax+Seal+Beads,+Wax+Seal+Warmer,+Melting+Spoon,10PCS+Candles,+Wax+Seal+Kit+for+Wedding+Envelop+Sealing",,,"Supplies/Wax Seal Warmer Kits, Vosypoky 372 PCS Sealing Wax Beads Set with 360PCS Rose Gold Wax Seal Beads, Wax Seal Warmer, Melting Spoon,10PCS Candles, Wax Seal Kit for Wedding Envelop Sealing.jpg"
wolfbox wolfboxg s,wolfbox wolfboxg,WOLFBOXG840s T1033Feet Backup Camera Extension Cord,WOLFBOX,adhesive,,WOLFBOXG840sT1033FeetBackupCameraExtensionCord.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=WOLFBOXG840s+T1033Feet+Backup+Camera+Extension+Cord,,,Supplies/WOLFBOXG840sT1033FeetBackupCameraExtensionCord.jpg
10pcs turning inserts,10pcs turning,"10Pcs Turning Inserts,Carbide Insert Blade,CNC Coated Lathe Turning Tool with Wrench,Lathe Milling Inserts with Box DCMT070204 US735 DCMT21.51",10Pcs,blade/cutting,sharp,"10Pcs Turning Inserts,Carbide Insert Blade,CNC Coated Lathe Turning Tool with Wrench,Lathe Milling Inserts with Box DCMT070204 US735 DCMT21.51.jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=10Pcs+Turning+Inserts,Carbide+Insert+Blade,CNC+Coated+Lathe+Turning+Tool+with+Wrench,Lathe+Milling+Inserts+with+Box+DCMT070204+US735+DCMT21.51",,,"Supplies/10Pcs Turning Inserts,Carbide Insert Blade,CNC Coated Lathe Turning Tool with Wrench,Lathe Milling Inserts with Box DCMT070204 US735 DCMT21.51.jpg"
144pcs jeweler s,144pcs jeweler,"144Pcs 1# 2# 3# 4# 5# 6# 10, 20, 30, 40, 50, 60 Jeweler's Saw Blades Set with Storage Box (12pcs of Each Size), Gold,Silver",144Pcs,blade/cutting,sharp,"144Pcs 1# 2# 3# 4# 5# 6# 10, 20, 30, 40, 50, 60 Jeweler's Saw Blades Set with Storage Box (12pcs of Each Size), Gold,Silver.jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=144Pcs+1#+2#+3#+4#+5#+6#+10,+20,+30,+40,+50,+60+Jeweler's+Saw+Blades+Set+with+Storage+Box+(12pcs+of+Each+Size),+Gold,Silver",,,"Supplies/144Pcs 1# 2# 3# 4# 5# 6# 10, 20, 30, 40, 50, 60 Jeweler's Saw Blades Set with Storage Box (12pcs of Each Size), Gold,Silver.jpg"
144pk pk pike,144pk pk,144Pk Pike Jewelers Saw Blades,144Pk,blade/cutting,sharp,144PkPikeJewelersSawBlades.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=144Pk+Pike+Jewelers+Saw+Blades,,,Supplies/144PkPikeJewelersSawBlades.jpg
144saw saw blades,144saw saw,144Saw Blades Jeweler Metal Cutting Jewelry,144Saw,blade/cutting,sharp,144SawBladesJewelerMetalCuttingJewelry.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=144Saw+Blades+Jeweler+Metal+Cutting+Jewelry,,,Supplies/144SawBladesJewelerMetalCuttingJewelry.jpg
bosch db s,bosch db,Bosch DB743S7 Inch Continuous Rim Diamond Blade,Bosch,blade/cutting,sharp,BoschDB743S7-InchContinuousRimDiamondBlade.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Bosch+DB743S7+Inch+Continuous+Rim+Diamond+Blade,,,Supplies/BoschDB743S7-InchContinuousRimDiamondBlade.jpg
bosch ss spl,bosch ss,Bosch SS5 46SPL5 Inch X46 Tpi Plain End Scroll Saw Blade Silver,Bosch,blade/cutting,sharp,BoschSS5-46SPL5-InchX46-TpiPlainEndScrollSawBladeSilver.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Bosch+SS5+46SPL5+Inch+X46+Tpi+Plain+End+Scroll+Saw+Blade+Silver,,,Supplies/BoschSS5-46SPL5-InchX46-TpiPlainEndScrollSawBladeSilver.jpg
cricut craft world,cricut craft,Craft World04Tip Fine Point Pensfor Cricut,Cricut,blade/cutting,,CraftWorld04TipFinePointPensforCricut.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Craft+World04Tip+Fine+Point+Pensfor+Cricut,,,Supplies/CraftWorld04TipFinePointPensforCricut.jpg
cricut infusible ink,cricut infusible,Cricut Infusible Ink Pen Set0430ct Multi One Size,Cricut,blade/cutting,chemical,CricutInfusibleInkPenSet0430ctMultiOneSize.jpg,8,8,,,,,,,,https://www.amazon.ca/s?k=Cricut+Infusible+Ink+Pen+Set0430ct+Multi+One+Size,,,Supplies/CricutInfusibleInkPenSet0430ctMultiOneSize.jpg
cricut infusibleinkmarkerssetof,cricut infusibleinkmarkerssetof,Cricut Infusibleinkmarkerssetof30,Cricut,blade/cutting,chemical,CricutInfusibleinkmarkerssetof30.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Cricut+Infusibleinkmarkerssetof30,,,Supplies/CricutInfusibleinkmarkerssetof30.jpg
cricut markers basics,cricut markers,Cricut Markers1Basics5Infusible Ink,Cricut,blade/cutting,chemical,CricutMarkers1Basics5InfusibleInk.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Cricut+Markers1Basics5Infusible+Ink,,,Supplies/CricutMarkers1Basics5InfusibleInk.jpg
cricut mug blank,cricut mug,Cricut Mug Blank,Cricut,blade/cutting,,CricutMugBlank.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Cricut+Mug+Blank,,,Supplies/CricutMugBlank.jpg
cricut premium permanent,cricut premium,Cricut Premium Permanent Vinyl,Cricut,blade/cutting,,CricutPremiumPermanentVinyl.jpg,1,3,,,,,,,,https://www.amazon.ca/s?k=Cricut+Premium+Permanent+Vinyl,,,Supplies/CricutPremiumPermanentVinyl.jpg
cricut premium vinyl,cricut premium,Cricut Premium Vinyl Permanent,Cricut,blade/cutting,,CricutPremiumVinyl-Permanent.jpg,2,3,,,,,,,,https://www.amazon.ca/s?k=Cricut+Premium+Vinyl+Permanent,,,Supplies/CricutPremiumVinyl-Permanent.jpg
cricut ultimate gel,cricut ultimate,Cricut Ultimate Set Gel30Pack Pens,Cricut,blade/cutting,,CricutUltimateSetGel30PackPens.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Cricut+Ultimate+Set+Gel30Pack+Pens,,,Supplies/CricutUltimateSetGel30PackPens.jpg
cricut vinyl transfer,cricut vinyl,Cricut Vinyl Transfer Tape12X120,Cricut,blade/cutting,,CricutVinylTransferTape12X120.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Cricut+Vinyl+Transfer+Tape12X120,,,Supplies/CricutVinylTransferTape12X120.jpg
cricut cutting mat,cricut cutting,Cricut2002217Cutting Mat12X12Variety3 Pack,Cricut,blade/cutting,,Cricut2002217CuttingMat12X12Variety3-Pack.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Cricut2002217Cutting+Mat12X12Variety3+Pack,,,Supplies/Cricut2002217CuttingMat12X12Variety3-Pack.jpg
cut lube jewelers,cut lube,Cut Lube Jewelers Lubricant258,Cut,blade/cutting,,CutLubeJewelersLubricant258.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Cut+Lube+Jewelers+Lubricant258,,,Supplies/CutLubeJewelersLubricant258.jpg
htvront htv vinyl,htvront htv,"HTVRONT HTV Vinyl Rolls Heat Transfer Vinyl 12 x 8ft White HTV Vinyl for Shirts, Iron on Vinyl for All Cutting Machine Easy to Cut & Weed for Heat Vinyl Design (White)",HTVRONT,blade/cutting,,"HTVRONT HTV Vinyl Rolls Heat Transfer Vinyl - 12 x 8ft White HTV Vinyl for Shirts, Iron on Vinyl for All Cutting Machine - Easy to Cut & Weed for Heat Vinyl Design (White).jpg",1,1,,,,,,,,"https://www.amazon.ca/s?k=HTVRONT+HTV+Vinyl+Rolls+Heat+Transfer+Vinyl+12+x+8ft+White+HTV+Vinyl+for+Shirts,+Iron+on+Vinyl+for+All+Cutting+Machine+Easy+to+Cut+&+Weed+for+Heat+Vinyl+Design+(White)",,,"Supplies/HTVRONT HTV Vinyl Rolls Heat Transfer Vinyl - 12 x 8ft White HTV Vinyl for Shirts, Iron on Vinyl for All Cutting Machine - Easy to Cut & Weed for Heat Vinyl Design (White).jpg"
no cry cut,no cry,No Cry Cut Resistant Work Glovesfor Womenand Men,No,blade/cutting,,NoCryCutResistantWorkGlovesforWomenandMen.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=No+Cry+Cut+Resistant+Work+Glovesfor+Womenand+Men,,,Supplies/NoCryCutResistantWorkGlovesforWomenandMen.jpg
qep6 qep qcontinuous,qep6 qep,QEP6 7003QContinuous Rim Diamond Blade,QEP6,blade/cutting,sharp,QEP6-7003QContinuousRimDiamondBlade.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=QEP6+7003QContinuous+Rim+Diamond+Blade,,,Supplies/QEP6-7003QContinuousRimDiamondBlade.jpg
cricut realikedual tip,cricut realikedual,REALIKEDual Tip Pensfor Cricut,Cricut,blade/cutting,,REALIKEDualTipPensforCricut.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=REALIKEDual+Tip+Pensfor+Cricut,,,Supplies/REALIKEDualTipPensforCricut.jpg
saw cutting blade,saw cutting,"Saw Cutting Blade, Jewelry Saw Blade,12pcs Tungsten Steel Jewelry Saw Cutting Blades Spiral Teeth Saw Cutting Blades, Jeweler's Saw Frame kit, Portable Jewelry Making Tool(1# (One bundle))",Saw,blade/cutting,sharp,"Saw Cutting Blade, Jewelry Saw Blade,12pcs Tungsten Steel Jewelry Saw Cutting Blades Spiral Teeth Saw Cutting Blades, Jeweler's Saw Frame kit, Portable Jewelry Making Tool(1# (One bundle)).jpg",2,2,,,,,,,,"https://www.amazon.ca/s?k=Saw+Cutting+Blade,+Jewelry+Saw+Blade,12pcs+Tungsten+Steel+Jewelry+Saw+Cutting+Blades+Spiral+Teeth+Saw+Cutting+Blades,+Jeweler's+Saw+Frame+kit,+Portable+Jewelry+Making+Tool(1#+(One+bundle))",,,"Supplies/Saw Cutting Blade, Jewelry Saw Blade,12pcs Tungsten Steel Jewelry Saw Cutting Blades Spiral Teeth Saw Cutting Blades, Jeweler's Saw Frame kit, Portable Jewelry Making Tool(1# (One bundle)).jpg"
smartlifemoissanitediamondlab grown round,smartlifemoissanitediamondlab grown,SMARTLIFEMOISSANITEDIAMONDLab Grown Round Brilliant Cut,SMARTLIFEMOISSANITEDIAMONDLab,blade/cutting,,SMARTLIFEMOISSANITEDIAMONDLab-GrownRoundBrilliantCut.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=SMARTLIFEMOISSANITEDIAMONDLab+Grown+Round+Brilliant+Cut,,,Supplies/SMARTLIFEMOISSANITEDIAMONDLab-GrownRoundBrilliantCut.jpg
workpro100pack workpro snap,workpro100pack workpro,WORKPRO100Pack Snap Off Utility Knife Blades,WORKPRO100Pack,blade/cutting,sharp,WORKPRO100PackSnapOffUtilityKnifeBlades.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=WORKPRO100Pack+Snap+Off+Utility+Knife+Blades,,,Supplies/WORKPRO100PackSnapOffUtilityKnifeBlades.jpg
134pcs polymer clay,134pcs polymer,134Pcs Polymer Clay Cutters AIFUDA,134Pcs,clay,sharp,134PcsPolymerClayCuttersAIFUDA.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=134Pcs+Polymer+Clay+Cutters+AIFUDA,,,Supplies/134PcsPolymerClayCuttersAIFUDA.jpg
air dry clayi,air dry,Air Dry Clayi Fergoo50Colors,Air,clay,,AirDryClayiFergoo50Colors.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Air+Dry+Clayi+Fergoo50Colors,,,Supplies/AirDryClayiFergoo50Colors.jpg
andwing cosclay sculpt,andwing cosclay,Andwing Cosclay Sculpt Soft Gray Flexible Polymer Clay1lb,Andwing,clay,,AndwingCosclaySculpt-SoftGray-FlexiblePolymerClay1lb.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Andwing+Cosclay+Sculpt+Soft+Gray+Flexible+Polymer+Clay1lb,,,Supplies/AndwingCosclaySculpt-SoftGray-FlexiblePolymerClay1lb.jpg
liquid sculpey polymer,liquid sculpey,Liquid Sculpey Liquid Polymer Clay Clear,Liquid,clay,,LiquidSculpeyLiquidPolymerClayClear.jpg,1,1,,,,,,,,https://www.amazon.ca/s?k=Liquid+Sculpey+Liquid+Polymer+Clay+Clear,,,Supplies/LiquidSculpeyLiquidPolymerClayClear.jpg
